time,element,bbox_px,color_hex,text,click,navigation
"0.00s","Header","(0,0,360,115)","#C7050A","","No",""
"0.00s","WhiteCard","(10,124,340,60)","#CCC4C5","","No",""
"0.00s","WhiteCard","(10,188,340,24)","#FFF7E6","","No",""
"0.00s","WhiteCard","(10,228,340,48)","#413E41","","No",""
"0.00s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"0.00s","WhiteCard","(10,416,340,332)","#F4F3F5","","No",""
"0.10s","Header","(0,0,360,115)","#C51023","","No",""
"0.10s","WhiteCard","(10,124,340,60)","#C8C1C4","","No",""
"0.10s","WhiteCard","(10,188,340,24)","#FFF7E9","","No",""
"0.10s","WhiteCard","(10,228,340,48)","#4E4B4E","","No",""
"0.10s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"0.10s","WhiteCard","(10,416,340,332)","#F3F2F4","","No",""
"0.20s","Header","(0,0,360,115)","#C30106","","No",""
"0.20s","WhiteCard","(10,124,340,60)","#CCC5C8","","No",""
"0.20s","WhiteCard","(10,188,340,24)","#FFFAF2","","No",""
"0.20s","WhiteCard","(10,228,340,48)","#484548","","No",""
"0.20s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"0.20s","WhiteCard","(10,416,340,332)","#F4F3F5","","No",""
"0.30s","Header","(0,0,360,115)","#C70208","","No",""
"0.30s","WhiteCard","(10,124,340,60)","#CBC4C7","","No",""
"0.30s","WhiteCard","(10,188,340,24)","#FFFCF1","","No",""
"0.30s","WhiteCard","(10,228,340,48)","#474447","","No",""
"0.30s","WhiteCard","(10,308,340,100)","#FBF8FB","","No",""
"0.30s","WhiteCard","(10,416,340,332)","#F2F1F3","","No",""
"0.40s","Header","(0,0,360,115)","#C31210","","No",""
"0.40s","WhiteCard","(10,124,340,60)","#C9C1C4","","No",""
"0.40s","WhiteCard","(10,188,340,24)","#FFFAEC","","No",""
"0.40s","WhiteCard","(10,228,340,48)","#4B484B","","No",""
"0.40s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"0.40s","WhiteCard","(10,416,340,332)","#F3F2F4","","No",""
"0.50s","Header","(0,0,360,115)","#BD000A","","No",""
"0.50s","WhiteCard","(10,124,340,60)","#DBD3D6","","No",""
"0.50s","WhiteCard","(10,188,340,24)","#FFF8EA","","No",""
"0.50s","WhiteCard","(10,228,340,48)","#3C393C","","No",""
"0.50s","WhiteCard","(10,308,340,100)","#F5F2F5","","No",""
"0.50s","WhiteCard","(10,416,340,332)","#F2F1F3","","No",""
"0.60s","Header","(0,0,360,115)","#C2000F","","No",""
"0.60s","WhiteCard","(10,124,340,60)","#D6CDD2","","No",""
"0.60s","WhiteCard","(10,188,340,24)","#FFF8E7","","No",""
"0.60s","WhiteCard","(10,228,340,48)","#484548","","No",""
"0.60s","WhiteCard","(10,308,340,100)","#FEFBFE","","No",""
"0.60s","WhiteCard","(10,416,340,332)","#F2F1F3","","No",""
"0.70s","Header","(0,0,360,115)","#D51725","","No",""
"0.70s","WhiteCard","(10,124,340,60)","#C6BEC1","","No",""
"0.70s","WhiteCard","(10,188,340,24)","#FFFAE8","","No",""
"0.70s","WhiteCard","(10,228,340,44)","#F6F3F6","","No",""
"0.70s","WhiteCard","(10,308,340,100)","#FFFCFF","","No",""
"0.70s","WhiteCard","(10,416,340,332)","#F1F0F2","","No",""
"0.80s","Header","(0,0,360,115)","#C0101E","","No",""
"0.80s","WhiteCard","(10,124,340,60)","#C7BEC3","","No",""
"0.80s","WhiteCard","(10,188,340,24)","#FFFBEF","","No",""
"0.80s","WhiteCard","(10,228,340,48)","#4E4B4E","","No",""
"0.80s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"0.80s","WhiteCard","(10,416,340,228)","#FBFAFC","","No",""
"0.80s","WhiteCard","(10,648,340,100)","#FBF8FB","","No",""
"0.90s","Header","(0,0,360,113)","#CD1B1D","","No",""
"0.90s","WhiteCard","(10,124,340,60)","#ABA3A2","","No",""
"0.90s","WhiteCard","(10,188,340,24)","#FAF4E8","","No",""
"0.90s","WhiteCard","(10,228,340,48)","#4C494C","","No",""
"0.90s","WhiteCard","(10,308,340,100)","#FFFCFF","","No",""
"0.90s","WhiteCard","(10,416,340,228)","#F7F6F8","","No",""
"0.90s","WhiteCard","(10,648,340,100)","#F8F5F8","","No",""
"1.00s","Header","(0,0,360,113)","#CF2524","","No",""
"1.00s","WhiteCard","(10,124,340,60)","#B3ACA5","","No",""
"1.00s","WhiteCard","(10,188,340,24)","#FAF4E8","","No",""
"1.00s","WhiteCard","(10,228,340,44)","#EDEAED","","No",""
"1.00s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"1.00s","WhiteCard","(10,416,340,228)","#FFFEFF","","No",""
"1.00s","WhiteCard","(10,648,340,100)","#F8F5F8","","No",""
"1.10s","Header","(0,0,360,113)","#CB322E","","No",""
"1.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.10s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.10s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.10s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.20s","Header","(0,0,360,113)","#CB322E","","No",""
"1.20s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.20s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"1.20s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.20s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.20s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.30s","Header","(0,0,360,113)","#CB322E","","No",""
"1.30s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.30s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.30s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.30s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.30s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.30s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.40s","Header","(0,0,360,113)","#CB322E","","No",""
"1.40s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.40s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.40s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.40s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.40s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.50s","Header","(0,0,360,113)","#CB322E","","No",""
"1.50s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.50s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.50s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.50s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.60s","Header","(0,0,360,113)","#CB322E","","No",""
"1.60s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.60s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.60s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.60s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.70s","Header","(0,0,360,113)","#CB322E","","No",""
"1.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.70s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.70s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.70s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.80s","Header","(0,0,360,113)","#CB322E","","No",""
"1.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.80s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"1.80s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.80s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"1.90s","Header","(0,0,360,113)","#CB322E","","No",""
"1.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"1.90s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"1.90s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"1.90s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"1.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"1.90s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"2.00s","Header","(0,0,360,113)","#CB322E","","No",""
"2.00s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.00s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.00s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.00s","WhiteCard","(10,648,340,100)","#F7F4F7","","No",""
"2.10s","Header","(0,0,360,113)","#CA332E","","No",""
"2.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.10s","WhiteCard","(10,228,340,44)","#E2DFE2","","No",""
"2.10s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.10s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.20s","Header","(0,0,360,113)","#CA332E","","No",""
"2.20s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"2.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.20s","WhiteCard","(10,228,340,44)","#E2DFE2","","No",""
"2.20s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.20s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.20s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.30s","Header","(0,0,360,113)","#CA332E","","No",""
"2.30s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"2.30s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.30s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.30s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.30s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.30s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.40s","Header","(0,0,360,113)","#CB322E","","No",""
"2.40s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.40s","WhiteCard","(10,228,340,44)","#E2DFE2","","No",""
"2.40s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.40s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.40s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.50s","Header","(0,0,360,113)","#CB322E","","No",""
"2.50s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.50s","WhiteCard","(10,228,340,44)","#E5E2E5","","No",""
"2.50s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.50s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.60s","Header","(0,0,360,113)","#CB322E","","No",""
"2.60s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.60s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.60s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.70s","Header","(0,0,360,113)","#CB322E","","No",""
"2.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.70s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.70s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.80s","Header","(0,0,360,113)","#CB322E","","No",""
"2.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.80s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.80s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"2.90s","Header","(0,0,360,113)","#CB322E","","No",""
"2.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"2.90s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"2.90s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"2.90s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"2.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"2.90s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.00s","Header","(0,0,360,113)","#CB322E","","No",""
"3.00s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"3.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.00s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.00s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.00s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.10s","Header","(0,0,360,113)","#CB322E","","No",""
"3.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"3.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.10s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.10s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.10s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.20s","Header","(0,0,360,113)","#CB322E","","No",""
"3.20s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"3.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.20s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.20s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.20s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.20s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.30s","Header","(0,0,360,113)","#C22925","","No",""
"3.30s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"3.30s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"3.30s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.30s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.30s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.30s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.40s","Header","(0,0,360,113)","#CB322E","","No",""
"3.40s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"3.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.40s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.40s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"3.40s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.40s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.50s","Header","(0,0,360,113)","#CB322E","","No",""
"3.50s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"3.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.50s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.50s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.50s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.60s","Header","(0,0,360,113)","#CB322E","","No",""
"3.60s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"3.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.60s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.60s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"3.70s","Header","(0,0,360,113)","#CB322E","","No",""
"3.70s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"3.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"3.70s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"3.70s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"3.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"3.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"4.00s","Header","(0,0,360,113)","#CB3521","","No",""
"4.00s","PrimaryButton","(10,447,340,65)","#B97880","","No",""
"4.10s","Header","(0,0,360,113)","#CB3521","","No",""
"4.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.10s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"4.10s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"4.10s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.10s","WhiteCard","(10,448,340,32)","#FFFCFF","","No",""
"4.10s","WhiteCard","(10,540,340,52)","#FFFDFF","","No",""
"4.20s","Header","(0,0,360,113)","#CB361C","","No",""
"4.20s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.20s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"4.20s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.20s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.20s","WhiteCard","(10,416,340,224)","#DEDDDF","","No",""
"4.20s","WhiteCard","(10,668,340,80)","#570714","","No",""
"4.30s","Header","(0,0,360,113)","#CB361C","","No",""
"4.30s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.30s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"4.30s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.30s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.30s","WhiteCard","(10,416,340,224)","#DEDDDF","","No",""
"4.30s","WhiteCard","(10,668,340,80)","#570714","","No",""
"4.40s","Header","(0,0,360,113)","#CB361C","","No",""
"4.40s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.40s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"4.40s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.40s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.40s","WhiteCard","(10,416,340,224)","#DEDDDF","","No",""
"4.40s","WhiteCard","(10,664,340,84)","#FFF0ED","","No",""
"4.50s","Header","(0,0,360,113)","#CB361C","","No",""
"4.50s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"4.50s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.50s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"4.50s","WhiteCard","(10,664,340,84)","#FFF0ED","","No",""
"4.60s","Header","(0,0,360,113)","#CB361C","","No",""
"4.60s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"4.60s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.60s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"4.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"4.70s","Header","(0,0,360,113)","#CB361C","","No",""
"4.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"4.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"4.70s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"4.70s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.70s","WhiteCard","(10,416,340,224)","#DEDDDF","","No",""
"4.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"4.80s","Header","(0,0,360,113)","#C32E14","","No",""
"4.80s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"4.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"4.80s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"4.80s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"4.80s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"4.90s","Header","(0,0,360,113)","#CB322E","","No",""
"4.90s","WhiteCard","(10,124,340,60)","#B1ACA5","","No",""
"4.90s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"4.90s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"4.90s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"4.90s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.00s","Header","(0,0,360,113)","#CB322E","","No",""
"5.00s","WhiteCard","(10,124,340,60)","#B0ABA4","","No",""
"5.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.00s","WhiteCard","(10,228,340,44)","#F2EFF2","","No",""
"5.00s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"5.00s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.10s","Header","(0,0,360,113)","#CB322E","","No",""
"5.10s","WhiteCard","(10,124,340,60)","#B0ABA4","","No",""
"5.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.10s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.10s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.10s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.20s","Header","(0,0,360,113)","#CB322E","","No",""
"5.20s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"5.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.20s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.20s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.20s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.30s","Header","(0,0,360,113)","#CB322E","","No",""
"5.30s","WhiteCard","(10,124,340,60)","#B0ABA4","","No",""
"5.30s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.30s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.30s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.30s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.40s","Header","(0,0,360,113)","#CB322E","","No",""
"5.40s","WhiteCard","(10,124,340,60)","#B0ABA4","","No",""
"5.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.40s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.40s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.40s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.50s","Header","(0,0,360,113)","#CB322E","","No",""
"5.50s","WhiteCard","(10,124,340,60)","#B0ABA4","","No",""
"5.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.50s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.50s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.50s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.60s","Header","(0,0,360,113)","#CB322E","","No",""
"5.60s","WhiteCard","(10,124,340,60)","#B1ACA5","","No",""
"5.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"5.60s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.60s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"5.60s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.70s","Header","(0,0,360,113)","#CB322E","","No",""
"5.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"5.70s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"5.70s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.70s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"5.70s","WhiteCard","(10,416,340,332)","#F5F4F6","","No",""
"5.80s","Header","(0,0,360,113)","#CB322E","","No",""
"5.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"5.80s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"5.80s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.80s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"5.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"5.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"5.90s","Header","(0,0,360,113)","#CB322E","","No",""
"5.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"5.90s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"5.90s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"5.90s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"5.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"5.90s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"6.00s","Header","(0,0,360,113)","#CB322E","","No",""
"6.00s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"6.00s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"6.00s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"6.00s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"6.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"6.00s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"6.10s","Header","(0,0,360,113)","#CB322E","","No",""
"6.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"6.10s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"6.10s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"6.10s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"6.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"6.10s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"6.20s","Header","(0,0,360,113)","#CB322E","","No",""
"6.20s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
